id,group,class,classSingular,name
1,cronus-titans,Titans,Titan,Megas Depranon
2,cronus-titans,Titans,Titan,Katar
3,cronus-titans,Titans,Titan,Gurthang
4,cronus-titans,Titans,Titan,Crossbow
5,cronus-titans,Titans,Titan,Xiphos
6,cronus-titans,Titans,Titan,Flamberge
7,cronus-titans,Titans,Titan,Rapier
8,cronus-titans,Titans,Titan,Falchion
9,cronus-titans,Titans,Titan,Tanken
10,cronus-titans,Titans,Titan,Sledgehammer
11,cronus-titans,Titans,Titan,Shamshir
12,cronus-titans,Titans,Titan,Axe
,,,,
1,cronus-other-titans,Titans,Titan,Other Titans
,,,,
1,cronus-titan-soldiers,Soldiers,Soldier,Soldiers
