id,name,age,gender,birth,nationality,affiliation,class,rank,cloth,training,apprentice,master,attacks,height,weight,family,blood,
1,Shun,13,Male,Sep-09,Japanese,Athena,Saints,Bronze Saints / Host of Hades,Andromeda Cloth | Andromeda New Cloth | Andromeda Plain Cloth | Andromeda Kamui Cloth,Andromeda Island,null,Cepheus Daidalos (master / manga-only) | Cepheus Albior (master / anime-only),Nebula Chain | Rolling Defense | Andromeda Nebula | Circle Defense | Wild Trap | Spiral Duct | Spider Net | Boomerang Shot | Casting Net | Great Capture | Thunder Wave | Nebula Stream | Nebula Storm,165cm,51kg,Phoenix Ikki,null,
2,Paradise,null,Male,null,null,Athena,Saints,Bronze Saints,Apus Cloth Stone,Palestra,null,Geki (Omega)(Master at Palestra) | Georges(Master at Palestra),Typhoon Bullet,null,null,null,null,
3,Camus,13 years (G: debut)[2] | 20 years (SS: debut),Male,Feb-07,France,Athena | Abel (briefly) | Hades (fake) | Odin (uncertain),Saint of Athena,Gold Saint of Athena,Aquarius Cloth | Aquarius God Cloth | Aquarius Surplice,West Siberia / Siberia,Crystal Saint (anime-only) | Cygnus Hyoga | Kraken Isaac,null,Diamond Dust | Koltso | Freezing Coffin | Aurora Execution | Athena Exclamation,184 cm,76 kg,null,A,
4,Degel,22,Male,null,Kingdom of France,Athena,Saints,Gold Saints,Aquarius Cloth,Bluegrad,null,Kok-i-noor Krest,Diamond Dust | Koltso | Freezing Coffin | Grand Koltso | Diamond Dust Ray | Aurora Execution,null,null,null,null,
5,Krest,500 Years,Male,08-Feb,Russian,Garnet | Athena,Jewel,null,Aquarius Cloth | Koh-i-Noor,Bluegrad,Aquarius Degel,null,Diamond Dust | Diamond Dust Ray | Aurora Execution | Freezing Shield,167 cm,57 kg,null,AB,
6,Mystoria,null,Male,null,null,Athena,Saint of Athena,Gold,Aquarius Cloth,null,null,null,Aurora Execution | Kholodnyi Smerch,null,null,null,null,
7,Tokisada,null,Male,null,Japan,Athena | Mars | Saturn,Saints(former) | Pallasites(current) | Saturnians,Silver Saints | Gold Saints  | Pallasites Second Class | Saturnians,Horologium Cloth Stone | Aquarius Cloth Stone | Deathwatch Chronotector,Sanctuary / Greece,null,null,Jikan Ken | Jikan Gyakkō | Chrono Execution | Chrono Divide | Chrono Immortal | Chrono Dominion,null,null,null,null,
8,Marin,16,Female,Mar-18,Japan,Athena,Saints,Silver Saints,Eagle Cloth,Sanctuary / Greece,Pegasus Seiya,null,Kuu Ken | Ryusei Ken | Eagle Claw Flash,167 cm,51 kg,Icarus Toma(brother),A,
9,Yuna,13 (season 1) | 14 (season 2),Female,null,Russian,Athena,Saints,Bronze Saints | Profesor at Palestra (manga-only),Aquila Cloth Stone | Aquila New Cloth | Aquila Omega Cloth,Russia | Palestra,null,Peacock Pavlin | Geki (Omega)(master at Palestra),Blast Scythe | Divine Tornado | Aquila Spinning Predation | Storm Tornado | Aquila Shining Buster,null,null,null,null,
10,Hakurei,270,Male,null,Tibet,Athena,Saints,Legendary Saints | Master at Jamir,null,Jamir,Aries Shion | Crane Yuzuriha | Black Altar Don Avido | Hanuman Tokusa | Atla,null,Seki Shiki Meikai Ha | Seki Shiki Tenryō Ha | Seki Shiki Kisōen | Seki Shiki Konsō Ha,null,null,Pope Sage,null,
11,Nicole,null,Male,null,null,Athena,Saints,Silver Saints,Altar Cloth,null,null,null,null,null,null,null,null,
12,Avenir,null,Male,null,null,Athena,Saints,Gold Saints,Aries Cloth,null,null,null,Stardust Revolution,null,null,null,null,
13,Gateguard,null,Male,14-Apr,null,Athena,Saints,Gold Saints,Aries Cloth,null,null,null,Force Soar,186 cm,86 kg,null,A,
14,Kiki,8,Male,Apr-01,Tibet,Athena,Saint of Athena,Gold,Aries Cloth Stone,Jamir - Himalayas,Raki,Aries Mū,Crystal Wall | Stardust Revolution | Starlight Extinction | Athena Exclamation,130cm,34kg,null,B,
15,Mu,13 years (G: debut)[2] | 20 years (SS: debut) | 35 years (LoS)[3],Male,Mar-27,Tibet,"	Athena",Saint of Athena,Gold,Aries Cloth | Aries God Cloth,Jamir - Himalayas,Kiki,Aries Shion,Crystal Wall | Stardust Revolution | Starlight Extinction | Crystal Net | Athena Exclamation,182 cm,75 kg,null,A,
16,Shion,18 (ND & LC),Male,March 30th,null,Athena,null,null,null,null,null,null,null,185cm,77kg,null,null,
17,Capella,17,Male,Aug-21,Greece,Athena,Saints,Silver Saints,Auriga Cloth | Auriga Surplice,Sanctuary /Greece,null,null,Saucer Kōgeki,183cm,80kg,null,null,
18,Almaaz,null,Male,null,null,Mars,Saints,Silver Saints,Auriga Cloth Stone,null,null,null,null,null,null,null,null,
19,Bayer,null,Male,null,null,Mars(first) | Athena(current),Saints,Silver Saints,Boötes Cloth Stone,null,null,null,null,null,null,null,null,
20,Michelangelo,null,Male,null,Italian,Mars(first) | Athena(current),Saints,Silver Saints,Caelum Cloth Stone,null,null,null,Colossus Live,null,null,null,null,
21,Bartsch,null,Female,null,null,Mars(first) | Athena(current),Saints,Silver Saints,Camelopardalis Cloth Stone,null,null,null,null,null,null,null,null,
22,Deathtoll,null,Male,null,null,Himself (first) | Athena(current),Saints,Gold Saints,Cancer Cloth,Sicily /  Italy,null,null,Seki Shiki Meikai Ha | Peach Attack | Cancer All Beauty Ken | Shabadabadaba's | Peach Bomber,null,null,null,null,
23,Lancelot,null,Male,null,null,Chaos Athena,Knight of the Round Table (Formerly) | Gladiator (Formerly) | Saints,Gold,Cancer Cloth | Cancer God Cloth,null,null,Viviane,"	Curse Sword Activate | Drawn Sword | Holy Sword Embodiment | Holy Sword Tower | Zangeki battō | Lady of the Lake | Abysmal Lake | Arondight Property Open | Kyou Doku Baiei | Dokuso Kakusan | Poison Sword Drawn Sword | Hobaku no Mizūmi | Amata no Tsurugi",null,null,null,null,
